# lambda        mean    stdev
3500               48.9       6.2
4000               78.3       4.7
4500               85.7       3.9
5000               84.7       3.3
5500               82.8       2.8
6000               80.8       2.3
6500               77.8       1.8
7000               71.8       1.5
7500               61.9       1.4
8000               49.4       1.3
8500               37.6       1.2
9000               24.8       0.9
9500               12.0       0.5
10000              4.3        0.2   

